id,product_name,manufacturer,price,description
b7305bef81247f7f4acafbbf8f2bff5f,"KATO 70148015 N Portram TLR 601 Portram, grün",Kato,£42.98,Suitable for the following scale(s): N Scale
9354e87c34db3d0e347714ae98bc2599,I/G (2) Oldtime Lanterns Working,Busch,£50.01,Working illuminated lamps. 188 mm high 14-16 volt finely detailed in weatherproof plastic. Scale: G
bb1c431e390121da9f269b06b68e4e1a,Piko 53366 KSStEB 1st/2nd Class Coach I,Piko,£34.95,Suitable for the following scale(s): HO Scale
58161fc326cb43d81140ae361911035f,Hornby Digital 15 V 4 Amp Transformer,Hornby,£28.99,"Product Description Hornby 15V 4 Amp transformer. Replacement transformer suitable for: Scalextric C7042: advanced 6 car powerbase, Scalextric C7056: 4 car powerbase or digital conversion kit, Hornby R8213: select controller, Hornby R8214: elite controller. Box Contains 1x Transformer"
c47c3e59171ae2698a7458963db9a154,Faller 140431,Faller,,Faller 140431 - EAN 4104090004316 - Faller 140431 - scale H0 1:87
a904e69ec08ecbfde95106cc092c4983,Harry Potter - Diecast Hogwarts Express Train,Corgi,£59.99,"Manufacturer's Description Hogwarts Express from The Chamber Of SecretsThe Hogwarts Express departs from platform 9¾ at King's Cross station, carrying students to Hogsmeade where they are then taken to Hogwarts School of Witchcraft and Wizardry for the start of each new school term."
57539ecb926423ce2c0b0231429363f4,Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Bachmann,£96.00,Suitable for the following scale(s): OO Scale
8a111d2a3a6bfdc000eeddd439324848,Kato 8002 Koki 10000 Freight Wagon,Kato,£35.20,Suitable for the following scale(s): N Scale
995777a914a1edb958a0da25b145643b,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,£39.03,Gaugemaster Single Track Controller/ Plug in Transformer
51bf530a535196413fc510972bcb5a4c,Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,£15.25,"Dapol OO Gauge 1:76 Scale Plastic Model Kit - Battle of Britain Class Steam Locomotive - ""257 Squadron""Manufacturers Description: OO Gauge Battle of Britain Class 257 Squadron. Kit will require assembly, painting and supplied transfers applying. Please note model shown is 92 Squadron, but is identical except for decals. PLEASE NOTE THAT THIS IS A PLASTIC MODEL KIT AND IS SUPPLIED UNASSEMBLED AND UNPAINTED. PAINT AND GLUE NOT INCLUDED."
b6e86fd32fc87ffbbb21d52f6ad8f06c,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,£167.10,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound) - This item is intended for modelling use and is NOT a toy - Scale - 1:87
590ad6c0f9bdbbac7887ec4e36eb08a0,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,£98.50,Product Description Hornby Railroad '00' Gauge R3284TTS LNER Class A1 'Flying Scotsman' with TTS Sound Steam Locomotive Box Contains 1 x Railroad Steam Sound Locomotive
225d50e558fd4464b6e1c2416c6b7e4e,Piko 57013 myTrain Diesel Locomotive,Piko,£19.95,Suitable for the following scale(s): HO Scale
835e3add1236908071ebadf0b29776db,Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,£35.00,Suitable for the following scale(s): OO Scale
6d73a76c4ee846231cbb889d6b09182c,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,£51.61,Suitable for the following scale(s): N Scale
5152452656955a9bf425a11ba221f016,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,£30.99,"Product Description The BR 0-4-0ST loco in the famous 'Smokey Joe' livery.Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This locomotive is suitable with analogue train layouts only and is not DCC compatible. Box Contains 1 x locomotive"
b1bbbe466d07d864d703f11c04dd38c6,Hornby Pennine Express Train Set,Hornby,,LOVELY TRADITIONAL LAYOUT
